name,cation,anion,silicate,silicate_html,cation_html,anion_html,elements,strunz,formula,ima,year
Stornesite-(Y),Ca;Na;Mg;Fe^2+^;Y,PO_4_,,,(Ca + Na)=8;(Mg + Fe<sup>2+</sup>)=43;Na x 6;(Y + Ca)=1,PO<sub>4</sub> x 36,Y;Ca;Na;Mg;Fe;P;O,8.AC.27,"{(Y, Ca)}{Na<sub>6</sub>[box]<sub>2</sub>}{(Ca,Na)<sub>8</sub>}{(Mg,Fe<sup>2+</sup>)<sub>43</sub>}(PO<sub>4</sub>)<sub>36</sub>",Approved,2005
Xenophyllite,Fe^2+^;Na,PO_4_,,,Fe<sup>2+</sup> x 7;Na x 4,(PO<sub>4</sub>) x 6,Na;Fe;P;O,8.AC.27,Na<sub>4</sub>Fe<sup>2+</sup><sub>7</sub>(PO<sub>4</sub>)<sub>6</sub>,"Pending publication, Approved",2006
Harrisonite,Fe^2+^;Mg;Ca,PO_4_,,,(Fe<sup>2+</sup> + Mg)=6;Ca,(PO<sub>4</sub>) x 2,Ca;Fe;Mg;Si;O;P,8.AC.30,"Ca(Fe<sup>2+</sup>,Mg)<sub>6</sub>(SiO<sub>4</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>",Approved,1991
Kosnarite,K;Zr,PO_4_,,,K;Zr x 2,(PO<sub>4</sub>) x 3,K;Zr;P;O,8.AC.32,KZr<sub>2</sub>(PO<sub>4</sub>)<sub>3</sub>,Approved,1993
Panethite,Mg;Fe^2+^;Mn^2+^;Na;Ca;K,PO_4_,,,(Mg + Fe<sup>2+</sup> + Mn<sup>2+</sup>)=1;(Na + Ca + K)=1-x,PO<sub>4</sub>,Na;Ca;K;Mg;Fe;Mn;P;O,8.AC.35,"(Na,Ca,K)<sub>1-x</sub>(Mg,Fe<sup>2+</sup>,Mn<sup>2+</sup>)PO<sub>4</sub>",Approved,1966
Stanfieldite,Ca;Mg,PO_4_,,,Ca x 4;Mg x 5,PO<sub>4</sub> x 6,Ca;Mg;P;O,8.AC.37,Ca<sub>4</sub>Mg<sub>5</sub>(PO<sub>4</sub>)<sub>6</sub>,Approved,1967
Ronneburgite,K;Mn^2+^,VO_3_,,,K x 2;Mn<sup>2+</sup>,V<sup>5+</sup><sub>4</sub>O<sub>12</sub>,K;Mn;V;O,8.AC.40,K<sub>2</sub>Mn<sup>2+</sup>V<sup>5+</sup><sub>4</sub>O<sub>12</sub>,Approved,2001
Tillmannsite,Ag;Hg^2+^,VO_4_;AsO_4_,,,Ag x 3;Hg<sup>2+</sup>,"(V<sup>5+</sup>O<sub>4</sub>,As<sup>5+</sup>O<sub>4</sub>)",Ag;Hg;V;O;As,8.AC.42,"(Ag<sub>3</sub>Hg)(V<sup>5+</sup>O<sub>4</sub>,As<sup>5+</sup>O<sub>4</sub>)",Approved,2003
Filatovite,Al;Zn;K,AsO_4_,,,(Al + Zn)=2;K,"(As<sup>5+</sup>,Si)<sub>2</sub>O<sub>8</sub>",K;Al;Zn;As;Si;O,8.AC.45,"K(Al,Zn)<sub>2</sub>(As<sup>5+</sup>,Si)<sub>2</sub>O<sub>8</sub>",Approved,2002
Anatolyite,Na;Ca;Mg;Fe^3+^;Al,AsO_4_,,,Na x 6;(Ca + Na)=1;(Mg + Fe<sup>3+</sup>)=3;Al,(As<sup>5+</sup>O<sub>4</sub>) x 6,Na;Ca;Mg;Fe;Al;As;O,8.AC.47,"Na<sub>6</sub>(Ca,Na)(Mg,Fe<sup>3+</sup>)<sub>3</sub>Al(As<sup>5+</sup>O<sub>4</sub>)<sub>6</sub>","Approved, Pending publication",2016
Iwateite,Na;Ba;Mn^2+^,PO_4_,,,Na x 2;Ba;Mn<sup>2+</sup>,PO<sub>4</sub> x 2,Na;Ba;Mn;P;O,8.AC.47,Na<sub>2</sub>BaMn<sup>2+</sup>(P<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>,Approved,2013
Ozerovaite,Na;K;Al,AsO_4_,,,Na x 2;K;Al x 3,(As<sup>5+</sup>O<sub>4</sub>) x 4,Na;K;Al;As;O,8.AC.47,Na<sub>2</sub>KAl<sub>3</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>4</sub>,"Approved, Pending publication",2016
Pansnerite,K;Na;Fe^3+^;Al,AsO_4_,,,K x 3;Na x 3;(Fe<sup>3+</sup> + Al)=6,(As<sup>5+</sup>O<sub>4</sub>) x 8,K;Na;Fe;Al;As;O,8.AC.47,"K<sub>3</sub>Na<sub>3</sub>(Fe<sup>3+</sup>,Al)<sub>6</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>8</sub>","Approved, Pending publication",2016
Yurmarinite,Na;Fe^3+^;Mg;Cu^2+^,AsO_4_,,,Na x 7;(Fe<sup>3+</sup> + Mg + Cu<sup>2+</sup>)=4,(As<sup>5+</sup>O<sub>4</sub>) x 6,Na;Fe;Mg;Cu;As;O,8.AC.47,"Na<sub>7</sub>(Fe<sup>3+</sup>,Mg,Cu<sup>2+</sup>)<sub>4</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>6</sub>",Approved,2013
Arsenudinaite,Na;Mg,AsO_4_,,,Na;Mg x 4,(As<sup>5+</sup>O<sub>4</sub>) x 3,Na;Mg;As;O,8.AC.50,NaMg<sub>4</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>3</sub>,"Approved, Pending publication",2018
Udinaite,Na;Mg,VO_4_,,,Na;Mg x 4,(V<sup>5+</sup>O<sub>4</sub>) x 3,Na;Mg;V;O,8.AC.50,NaMg<sub>4</sub>(V<sup>5+</sup>O<sub>4</sub>)<sub>3</sub>,"Approved, Pending publication",2018
Lasnierite,Ca;Sr;Mg;Fe^2+^;Al,PO_4_;F,,,(Ca + Sr)=1;(Mg + Fe<sup>2+</sup>) x 2;Al,"(P[O,F]<sub>4</sub>) x 3",Ca;Sr;Mg;Fe;Al;P;O;F,8.AC.52,"(Ca,Sr)(Mg,Fe<sup>2+</sup>)<sub>2</sub>Al(P[O,F]<sub>4</sub>)<sub>3</sub>","Approved, Pending publication",2018
Pharmazincite,K;Zn,AsO_4_,,,K;Zn,As<sup>5+</sup>O<sub>4</sub>,K;Zn;As;O,8.AC.55,KZn<sup>2+</sup>As<sup>5+</sup>O<sub>4</sub>,Approved,2014
Zubkovaite,Ca;Cu^2+^,AsO_4_,,,Ca x 3;Cu<sup>2+</sup> x 3,(As<sup>5+</sup>O<sub>4</sub>) x 4,Ca;Cu;As;O,8.AC.57,Ca<sub>3</sub>Cu<sup>2+</sup><sub>3</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>4</sub>,"Approved, Pending publication",2018
Wopmayite,Ca;Na;Mn^2+^,PO_4_;HPO_4_,,,Ca x 6;Na x 3;Mn<sup>2+</sup>,(PO<sub>4</sub>) x 3;(PO<sub>3</sub>OH) x 4,Ca;Na;Mn;P;O;H,8.AC.60,Ca<sub>6</sub>Na<sub>3</sub>[box]Mn<sup>2+</sup>(PO<sub>4</sub>)<sub>3</sub>(PO<sub>3</sub>OH)<sub>4</sub>,Approved,2011
Nahpoite,Na,HPO_4_,,,Na x 2,(PO<sub>3</sub>OH),Na;P;O;H,8.AD.05,Na<sub>2</sub>(PO<sub>3</sub>OH),Approved,1981
Monetite,Ca,HPO_4_,,,Ca,(PO<sub>3</sub>OH),Ca;P;O;H,8.AD.10,Ca(PO<sub>3</sub>OH),"Grandfathered, Approved",1882
Švenekite,Ca,H_2_AsO_4_,,,Ca,(As<sup>5+</sup>O<sub>2</sub>(OH)<sub>2</sub>) x 2,Ca;As;O;H,8.AD.10,Ca(As<sup>5+</sup>O<sub>2</sub>(OH)<sub>2</sub>)<sub>2</sub>,Approved,1999
Weilite,Ca,HAsO_4_,,,Ca,(As<sup>5+</sup>O<sub>3</sub>OH),Ca;As;O;H,8.AD.10,Ca(As<sup>5+</sup>O<sub>3</sub>OH),Approved,1963
Archerite,K;NH_4_,H_2_PO_4_,,,(K + NH<sub>4</sub>)=1,H<sub>2</sub>PO<sub>4</sub>,K;N;H;P;O,8.AD.15,"(K,NH<sub>4</sub>)H<sub>2</sub>PO<sub>4</sub>",Approved,1977
Biphosphammite,NH_4_,H_2_PO_4_,,,NH<sub>4</sub>,H<sub>2</sub>PO<sub>4</sub>,H;N;P;O,8.AD.15,H<sub>2</sub>(NH<sub>4</sub>)PO<sub>4</sub>,"Grandfathered, Approved",1870
Phosphammite,NH_4_,HPO_4_,,,NH<sub>4</sub> x 2,(PO<sub>3</sub>OH),N;H;P;O,8.AD.20,(NH<sub>4</sub>)<sub>2</sub>(PO<sub>3</sub>OH),"Grandfathered, Approved",1870
Buchwaldite,Ca;Na,PO_4_,,,Ca;Na,PO<sub>4</sub>,Na;Ca;P;O,8.AD.25,NaCaPO<sub>4</sub>,Approved,1975
Schultenite,Pb^2+^,HAsO_4_,,,Pb<sup>2+</sup>,(As<sup>5+</sup>O<sub>3</sub>OH),Pb;As;O;H,8.AD.30,Pb<sup>2+</sup>(As<sup>5+</sup>O<sub>3</sub>OH),"Grandfathered, Approved",1926
Chernovite-(Y),Y,AsO_4_,,,Y,As<sup>5+</sup>O<sub>4</sub>,Y;As;O,8.AD.35,YAs<sup>5+</sup>O<sub>4</sub>,Approved,1967
Dreyerite,Bi,VO_4_,,,Bi,V<sup>5+</sup>O<sub>4</sub>,Bi;V;O,8.AD.35,BiV<sup>5+</sup>O<sub>4</sub>,Approved,1978
Pretulite,Sc,PO_4_,,,Sc,PO<sub>4</sub>,Sc;P;O,8.AD.35,ScPO<sub>4</sub>,Approved,1996
Wakefieldite-(Ce),Ce^3+^,VO_4_,,,Ce<sup>3+</sup>,V<sup>5+</sup>O<sub>4</sub>,Ce;V;O,8.AD.35,Ce<sup>3+</sup>V<sup>5+</sup>O<sub>4</sub>,"Renamed, Approved",1977
Wakefieldite-(La),La,VO_4_,,,La,V<sup>5+</sup>O<sub>4</sub>,La;V;O,8.AD.35,LaV<sup>5+</sup>O<sub>4</sub>,Approved,2007
Wakefieldite-(Nd),Nd,VO_4_,,,Nd,V<sup>5+</sup>O<sub>4</sub>,Nd;V;O,8.AD.35,NdV<sup>5+</sup>O<sub>4</sub>,Approved,2008
Wakefieldite-(Y),Y,VO_4_,,,Y,V<sup>5+</sup>O<sub>4</sub>,Y;V;O,8.AD.35,YV<sup>5+</sup>O<sub>4</sub>,"Approved, Renamed",1969
Xenotime-(Y),Y,PO_4_,,,Y,PO<sub>4</sub>,Y;P;O,8.AD.35,YPO<sub>4</sub>,Approved,1832
Xenotime-(Yb),Yb,PO_4_,,,Yb,PO<sub>4</sub>,Yb;P;O,8.AD.35,YbPO<sub>4</sub>,Approved,1999
Pucherite,Bi,VO_4_,,,Bi,V<sup>5+</sup>O<sub>4</sub>,Bi;V;O,8.AD.40,BiV<sup>5+</sup>O<sub>4</sub>,"Grandfathered, Approved",1871
Ximengite,Bi,PO_4_,,,Bi,PO<sub>4</sub>,Bi;P;O,8.AD.45,BiPO<sub>4</sub>,Approved,1985
Cheralite,Ca;Th^4+^,PO_4_,,,Ca;Th<sup>4+</sup>,PO<sub>4</sub> x 2,Ca;Th;P;O,8.AD.50,CaTh<sup>4+</sup>(PO<sub>4</sub>)<sub>2</sub>,"Redefined, Approved",1953
Gasparite-(Ce),Ce^3+^,AsO_4_,,,Ce<sup>3+</sup>,As<sup>5+</sup>O<sub>4</sub>,Ce;As;O,8.AD.50,Ce<sup>3+</sup>As<sup>5+</sup>O<sub>4</sub>,Approved,1986
Gasparite-(La),La,AsO_4_,,,La,AsO<sub>4</sub>,La;As;O,8.AD.50,LaAs<sup>5+</sup>O<sub>4</sub>,"Approved, Pending publication",2018
Monazite-(Ce),Ce^3+^,PO_4_,,,Ce<sup>3+</sup>,PO<sub>4</sub>,Ce;P;O,8.AD.50,Ce<sup>3+</sup>PO<sub>4</sub>,"Renamed, Approved",1829
Monazite-(La),La,PO_4_,,,La,PO<sub>4</sub>,La;P;O,8.AD.50,LaPO<sub>4</sub>,"Approved, Renamed",1966
Monazite-(Nd),Nd,PO_4_,,,Nd,PO<sub>4</sub>,Nd;P;O,8.AD.50,NdPO<sub>4</sub>,Approved,1986
Monazite-(Sm),Sm,PO_4_,,,Sm,PO<sub>4</sub>,Sm;P;O,8.AD.50,SmPO<sub>4</sub>,Approved,2001
Rooseveltite,Bi,AsO_4_,,,Bi,As<sup>5+</sup>O<sub>4</sub>,Bi;As;O,8.AD.50,BiAs<sup>5+</sup>O<sub>4</sub>,"Grandfathered, Approved",1946
Tetrarooseveltite,Bi,AsO_4_,,,Bi,As<sup>5+</sup>O<sub>4</sub>,Bi;As;O,8.AD.55,BiAs<sup>5+</sup>O<sub>4</sub>,Approved,1994
Chursinite,Hg^2+^;Hg^1+^,AsO_4_,,,Hg<sup>2+</sup>;Hg<sup>1+</sup>,(As<sup>5+</sup>O<sub>4</sub>),Hg;As;O,8.AD.60,Hg<sup>1+</sup>Hg<sup>2+</sup>(As<sup>5+</sup>O<sub>4</sub>),Approved,1984
Clinobisvanite,Bi,VO_4_,,,Bi,V<sup>5+</sup>O<sub>4</sub>,Bi;V;O,8.AD.65,BiV<sup>5+</sup>O<sub>4</sub>,Approved,1974
Gurimite,Ba,VO_4_,,,Ba x 3,V<sup>5+</sup>O<sub>4</sub> x 2,Ba;V;O,8.AD.70,Ba<sub>3</sub>(V<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>,Approved,2013
Picaite,Na;Ca,HAsO_4_;H_2_AsO_4_,,,Na;Ca,[As<sup>5+</sup>O<sub>3</sub>OH];[As<sup>5+</sup>O<sub>2</sub>(OH)<sub>2</sub>],Na;Ca;As;O;H,8.AD.75,NaCa[As<sup>5+</sup>O<sub>3</sub>OH][As<sup>5+</sup>O<sub>2</sub>(OH)<sub>2</sub>],"Approved, Pending publication",2018
Väyrynenite,Be;Mn^2+^,OH;F;PO_4_,,,Be;Mn<sup>2+</sup>,PO<sub>4</sub>;(OH + F)=1,Mn;Be;P;O;H;F,8.BA.05,"Mn<sup>2+</sup>Be(PO<sub>4</sub>)(OH,F)","Grandfathered, Approved",1954
Bergslagite,Be;Ca,OH;AsO_4_,,,Be;Ca,(As<sup>5+</sup>O<sub>4</sub>);OH,Ca;Be;As;O;H,8.BA.10,CaBe(As<sup>5+</sup>O<sub>4</sub>)(OH),Approved,1983
Herderite,Ca;Be,F;PO_4_,,,Ca;Be,PO<sub>4</sub>F,Ca;Be;P;O;F,8.BA.10,CaBePO<sub>4</sub>F,"Grandfathered, Approved",1828
Hydroxylherderite,Ca;Be,OH;PO_4_,,,Ca;Be,(PO<sub>4</sub>);OH,Ca;Be;P;O;H,8.BA.10,CaBe(PO<sub>4</sub>)(OH),"Approved, Renamed",2007
Babefphite,Ba;Be,F;OH;PO_4_,,,Ba;Be,PO<sub>4</sub>;(F + OH)=1,Ba;Be;P;O;F;H,8.BA.15,"BaBePO<sub>4</sub>(F,OH)",Approved,1966
Axelite,Na;Cu^2+^,PO_4_;F;Cl,,,Na x 14;Cu<sup>2+</sup> x 7,(As<sup>5+</sup>O<sub>4</sub>) x 8;F x 2;Cl x 2,Na;Cu;As;O;F;Cl,8.BA.20,Na<sub>14</sub>Cu<sup>2+</sup><sub>7</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>8</sub>F<sub>2</sub>Cl<sub>2</sub>,"Approved, Pending publication",2017
Amblygonite,Al;Li,F;PO_4_,,,Al;Li,PO<sub>4</sub>F,Li;Al;P;O;F,8.BB.02,LiAlPO<sub>4</sub>F,"Grandfathered, Approved",1817
Montebrasite,Al;Li,OH;PO_4_,,,Al;Li,PO<sub>4</sub>;OH,Li;Al;P;O;H,8.BB.02,LiAlPO<sub>4</sub>(OH),"Grandfathered, Approved",1871
Tavorite,Fe^3+^;Li,OH;PO_4_,,,Fe<sup>3+</sup>;Li,PO<sub>4</sub>;OH,Li;Fe;P;O;H,8.BB.02,LiFe<sup>3+</sup>PO<sub>4</sub>(OH),"Grandfathered, Approved",1954
Triplite,Mn^2+^,PO_4_;F,,,Mn<sup>2+</sup> x 2,PO<sub>4</sub>;F,Mn;P;O;F,8.BB.05,Mn<sup>2+</sup><sub>2</sub>(PO<sub>4</sub>)F,"Grandfathered, Approved",1813
Zwieselite,Fe^2+^,F;PO_4_,,,Fe<sup>2+</sup> x 2,PO<sub>4</sub>;F,Fe;P;O;F,8.BB.05,Fe<sup>2+</sup><sub>2</sub>(PO<sub>4</sub>)F,"Redefined, Approved",1841
Arsenowagnerite,Mg,AsO_4_;F,,,Mg x 2,(As<sup>5+</sup>O<sub>4</sub>);F,Mg;As;O;F,8.BB.07,Mg<sub>2</sub>(As<sup>5+</sup>O<sub>4</sub>)F,"Approved, Pending publication",2015
Hydroxylwagnerite,Mg,OH;PO_4_,,,Mg x 2,PO<sub>4</sub>;OH,Mg;P;O;H,8.BB.07,Mg<sub>2</sub>PO<sub>4</sub>(OH),Approved,2004
Joosteite,Mn^3+^;Fe^3+^;Mn^2+^,PO_4_;O,,,(Mn<sup>3+</sup> + Fe<sup>3+</sup>)=1;Mn<sup>2+</sup>,PO<sub>4</sub>;O,Mn;Fe;O;P,8.BB.07,"Mn<sup>2+</sup>(Mn<sup>3+</sup>,Fe<sup>3+</sup>)O(PO<sub>4</sub>)",Approved,2005
Sarkinite,Mn^2+^,OH;AsO_4_,,,Mn<sup>2+</sup> x 2,As<sup>5+</sup>O<sub>4</sub>;OH,Mn;As;O;H,8.BB.07,Mn<sup>2+</sup><sub>2</sub>As<sup>5+</sup>O<sub>4</sub>(OH),"Grandfathered, Approved",1885
Stanĕkite,Mn^2+^;Fe^2+^;Mg;Fe^3+^,O;PO_4_,,,(Mn<sup>2+</sup> + Fe<sup>2+</sup> + Mg)=1;Fe<sup>3+</sup>,O;PO<sub>4</sub>,Mn;Fe;Mg;P;O,8.BB.07,"(Mn<sup>2+</sup>,Fe<sup>2+</sup>,Mg)Fe<sup>3+</sup>(PO<sub>4</sub>)O",Approved,1994
Triploidite,Mn^2+^;Fe^2+^,OH;PO_4_,,,(Mn<sup>2+</sup> + Fe<sup>2+</sup>)=2,PO<sub>4</sub>;OH,Mn;Fe;P;O;H,8.BB.07,"(Mn<sup>2+</sup>,Fe<sup>2+</sup>)<sub>2</sub>(PO<sub>4</sub>)(OH)","Grandfathered, Approved",1878
Wagnerite,Mg;Fe^2+^,F;PO_4_,,,(Mg + Fe<sup>2+</sup>)=2,F;PO<sub>4</sub>,Mg;Fe;P;O;F,8.BB.07,"(Mg,Fe<sup>2+</sup>)<sub>2</sub>PO<sub>4</sub>F","Approved, Redefined",1821
Wolfeite,Fe^2+^;Mn^2+^,OH;PO_4_,,,(Fe<sup>2+</sup> + Mn<sup>2+</sup>)=2,PO<sub>4</sub>;OH,Fe;Mn;P;O;H,8.BB.07,"(Fe<sup>2+</sup>,Mn<sup>2+</sup>)<sub>2</sub>PO<sub>4</sub>(OH)","Grandfathered, Approved",1949
Holtedahlite,Mg,OH;PO_4_,,,Mg x 2,(PO<sub>4</sub>);OH,Mg;P;O;H,8.BB.10,Mg<sub>2</sub>(PO<sub>4</sub>)(OH),Approved,1979
Satterlyite,Fe^2+^;Mg;Fe^3+^,OH;O;PO_4_;HPO_4_,,,(Fe<sup>2+</sup> + Mg + Fe<sup>3+</sup>)=12,PO<sub>4</sub> x 5;(PO<sub>3</sub>OH);(OH + O)=6,Fe;Mg;P;O;H,8.BB.10,"(Fe<sup>2+</sup>,Mg,Fe<sup>3+</sup>)<sub>12</sub>(PO<sub>3</sub>OH)(PO<sub>4</sub>)<sub>5</sub>(OH,O)<sub>6</sub>",Approved,1978
Althausite,Mg,OH;O;F;PO_4_,,,Mg x 4,"(PO<sub>4</sub>) x 2;(F,[box]);(OH + O)=1",Mg;P;O;H;F,8.BB.12,"Mg<sub>4</sub>(PO<sub>4</sub>)<sub>2</sub>(OH,O)(F,[box])",Approved,1975
Adamite,Zn,OH;AsO_4_,,,Zn x 2,As<sup>5+</sup>O<sub>4</sub>;OH,Zn;As;O;H,8.BB.15,Zn<sub>2</sub>As<sup>5+</sup>O<sub>4</sub>(OH),"Grandfathered, Approved",1866
Auriacusite,Cu^2+^;Fe^3+^,AsO_4_;O,,,Cu<sup>2+</sup>;Fe<sup>3+</sup>,As<sup>5+</sup>O<sub>4</sub>;O,Fe;Cu;As;O,8.BB.15,Fe<sup>3+</sup>Cu<sup>2+</sup>(As<sup>5+</sup>O<sub>4</sub>)O,Approved,2009
Eveite,Mn^2+^,OH;AsO_4_,,,Mn<sup>2+</sup> x 2,As<sup>5+</sup>O<sub>4</sub>;OH,Mn;As;O;H,8.BB.15,Mn<sup>2+</sup><sub>2</sub>As<sup>5+</sup>O<sub>4</sub>(OH),Approved,1967
Libethenite,Cu^2+^,OH;PO_4_,,,Cu<sup>2+</sup> x 2,PO<sub>4</sub>;OH,Cu;P;O;H,8.BB.15,Cu<sup>2+</sup><sub>2</sub>PO<sub>4</sub>(OH),"Grandfathered, Approved",1823
Olivenite,Cu^2+^,OH;AsO_4_,,,Cu<sup>2+</sup> x 2,As<sup>5+</sup>O<sub>4</sub>;OH,Cu;As;O;H,8.BB.15,Cu<sup>2+</sup><sub>2</sub>As<sup>5+</sup>O<sub>4</sub>(OH),"Grandfathered, Approved",1820
Zincolibethenite,Cu^2+^;Zn,OH;PO_4_,,,Cu<sup>2+</sup>;Zn,PO<sub>4</sub>;OH,Cu;Zn;P;O;H,8.BB.15,Cu<sup>2+</sup>ZnPO<sub>4</sub>(OH),Approved,2003
Zincolivenite,Cu^2+^;Zn,OH;AsO_4_,,,Cu<sup>2+</sup>;Zn,As<sup>5+</sup>O<sub>4</sub>;OH,Cu;Zn;As;O;H,8.BB.15,Cu<sup>2+</sup>ZnAs<sup>5+</sup>O<sub>4</sub>(OH),Approved,2006
Paradamite,Zn,OH;AsO_4_,,,Zn x 2,As<sup>5+</sup>O<sub>4</sub>;OH,Zn;As;O;H,8.BB.17,Zn<sub>2</sub>As<sup>5+</sup>O<sub>4</sub>(OH),"Grandfathered, Approved",1956
Tarbuttite,Zn,OH;PO_4_,,,Zn x 2,(PO<sub>4</sub>);OH,Zn;P;O;H,8.BB.17,Zn<sub>2</sub>(PO<sub>4</sub>)(OH),"Grandfathered, Approved",1907
Barbosalite,Fe^2+^;Fe^3+^,OH;PO_4_,,,Fe<sup>2+</sup>;Fe<sup>3+</sup> x 2,PO<sub>4</sub> x 2;OHx2,Fe;P;O;H,8.BB.20,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>,"Grandfathered, Approved",1955
Hentschelite,Fe^3+^;Cu^2+^,OH;PO_4_,,,Fe<sup>3+</sup> x 2;Cu<sup>2+</sup>,PO<sub>4</sub> x 2;OHx2,Cu;Fe;P;O;H,8.BB.20,Cu<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>,Approved,1985
Lazulite,Mg;Fe^2+^;Al,OH;PO_4_,,,(Mg + Fe<sup>2+</sup>)=1;Al x 2,PO<sub>4</sub> x 2;OHx2,Mg;Fe;Al;P;O;H,8.BB.20,"(Mg,Fe<sup>2+</sup>)Al<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>",Approved,1795
Scorzalite,Al;Fe^2+^,OH;PO_4_,,,Al x 2;Fe<sup>2+</sup>,PO<sub>4</sub> x 2;OHx2,Fe;Al;P;O;H,8.BB.20,Fe<sup>2+</sup>Al<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>,"Grandfathered, Approved",1949
Wilhelmkleinite,Fe^3+^;Zn,OH;AsO_4_,,,Fe<sup>3+</sup> x 2;Zn,(As<sup>5+</sup>O<sub>4</sub>) x 2;OHx2,Zn;Fe;As;O;H,8.BB.20,ZnFe<sup>3+</sup><sub>2</sub>(As<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>,Approved,1997
Trolleite,Al,OH;PO_4_,,,Al x 4,PO<sub>4</sub> x 3;OHx3,Al;P;O;H,8.BB.22,Al<sub>4</sub>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>3</sub>,"Grandfathered, Approved",1868
Namibite,Bi;Cu^2+^,OH;VO_4_;O,,,Bi x 2;Cu<sup>2+</sup>,V<sup>5+</sup>O<sub>4</sub>;O x 2;OH,Cu;Bi;O;V;H,8.BB.25,Cu<sup>2+</sup>(BiO)<sub>2</sub>V<sup>5+</sup>O<sub>4</sub>(OH),Approved,1981
Phosphoellenbergerite,Mg,OH;HPO_4_;CO_3_;PO_4_,,,Mg x 13,"(PO<sub>4</sub>,PO<sub>3</sub>OH) x 6;(PO<sub>3</sub>OH,CO<sub>3</sub>) x 2;OHx6",Mg;P;O;H;C,8.BB.27,"(Mg,[box])<sub>2</sub>Mg<sub>12</sub>(PO<sub>4</sub>,PO<sub>3</sub>OH)<sub>6</sub>(PO<sub>3</sub>OH,CO<sub>3</sub>)<sub>2</sub>(OH)<sub>6</sub>",Approved,1994
Urusovite,Al;Cu^2+^,AsO_4_;O,,,Al;Cu<sup>2+</sup>,(As<sup>5+</sup>O<sub>4</sub>);O,Cu;Al;O;As,8.BB.30,Cu<sup>2+</sup>AlO(As<sup>5+</sup>O<sub>4</sub>),Approved,1998
Theoparacelsite,Cu^2+^,OH;As_2_O_7_,,,Cu<sup>2+</sup> x 3,As<sup>5+</sup><sub>2</sub>O<sub>7</sub>;OHx4,Cu;O;H;As,8.BB.32,Cu<sup>2+</sup><sub>3</sub>(OH)<sub>2</sub>As<sup>5+</sup><sub>2</sub>O<sub>7</sub>(OH)<sub>2</sub>,Approved,1998
Turanite,Cu^2+^,OH;VO_4_,,,Cu<sup>2+</sup> x 5,(V<sup>5+</sup>O<sub>4</sub>) x 2;OHx4,Cu;V;O;H,8.BB.35,Cu<sup>2+</sup><sub>5</sub>(V<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>,"Grandfathered, Approved",1909
Stoiberite,Cu^2+^,VO_4_;O,,,Cu<sup>2+</sup> x 5,V<sup>5+</sup>O<sub>4</sub> x 2;O x 2,Cu;O;V,8.BB.37,Cu<sup>2+</sup><sub>5</sub>O<sub>2</sub>(V<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>,Approved,1979
Fingerite,Cu^2+^,VO_4_;O,,,Cu<sup>2+</sup> x 11,V<sup>5+</sup>O<sub>4</sub> x 6;O x 2,Cu;O;V,8.BB.40,Cu<sup>2+</sup><sub>11</sub>O<sub>2</sub>(V<sup>5+</sup>O<sub>4</sub>)<sub>6</sub>,Approved,1983
Averievite,Cu^2+^,VO_4_;Cl;O,,,Cu<sup>2+</sup> x 6,V<sup>5+</sup>O<sub>4</sub> x 2;Cl x 2;O x 2,Cu;O;V;Cl,8.BB.42,Cu<sup>2+</sup><sub>5</sub>O<sub>2</sub>(V<sup>5+</sup>O<sub>4</sub>)<sub>2</sub>·Cu<sup>2+</sup>Cl<sub>2</sub>,Approved,1995
Dokuchaevite,Cu^2+^,VO_4_;Cl;O,,,Cu<sup>2+</sup> x 8,V<sup>5+</sup>O<sub>4</sub> x 3;Cl x 3;O x 2,Cu;O;V;Cl,8.BB.45,Cu<sup>2+</sup><sub>8</sub>O<sub>2</sub>(V<sup>5+</sup>O<sub>4</sub>)<sub>3</sub>Cl<sub>3</sub>,"Approved, Pending publication",1949
