Mineral_Name,index,A synonym of
Wadalite Group,1.0,NA
Wagnerite Group,1.0,NA
Walentaite Group,1.0,NA
Walpurgite Group,1.0,NA
Wardite Group,1.0,NA
Warwickite Group,1.0,NA
Watkinsonite Group,1.0,NA
Wavellite Group,1.0,NA
Weberite Group,1.0,NA
Welinite Group,1.0,NA
Wermlandite Group,1.0,NA
Whitlockite Group,1.0,NA
Wicksite Group,1.0,NA
Wodginite Group,1.0,NA
Wöhlerite Group,1.0,NA
Wollastonite Group,1.0,NA
Wölsendorfite Group,1.0,NA
Woodwardite Group,1.0,NA
Wurtzite Group,1.0,NA
Wyllieite Group,1.0,NA
Yurmarinite Group,1.0,NA
Zadovite Group,1.0,NA
Zemannite Group,1.0,NA
Zinkosite Group,1.0,NA
Zippeite Group,1.0,NA
Zircon Group,1.0,NA
Zirconolite Group,1.0,NA
Zirsinalite Group,1.0,NA
Zorite Group,1.0,NA
Amphibole Group,1.0,NA
Åskagenite Group,1.0,NA
Biotite Group,1.0,NA
Brittle Mica Group,1.0,NA
Calcium Amphibole Group,1.0,NA
Chlorite Group,1.0,NA
Clinopyroxene Group,1.0,NA
Dioctahedral mica Group,1.0,NA
Dollaseite Group,1.0,NA
Donnayite Group,1.0,NA
Feldspar Group,1.0,NA
Feldspathoid Group,1.0,NA
Garnet Group,1.0,NA
Gatelite Group,1.0,NA
Gutkovaite Group,1.0,NA
Lithium Amphibole Group,1.0,NA
Magnesium-Iron-Manganese Amphibole Group,1.0,NA
Melilite Group,1.0,NA
Mica Group,1.0,NA
Non-stoichiometric Perovskites Group,1.0,NA
Orthopyroxene Group,1.0,NA
Oxyspinel Group,1.0,NA
Perettiite Group,1.0,NA
Pyroxene Group,1.0,NA
Seleniospinel Group,1.0,NA
Serpentine Group,1.0; 2.9,Kaolinite-Serpentine Group
Smectite Group,1.0,NA
Sodium Amphibole Group,1.0,NA
Sodium-(Magnesium-Iron-Manganese) Amphibole Group,1.0,NA
Sodium-Calcium Amphibole Group,1.0,NA
Stoichiometric Perovskites Group,1.0,NA
Tengerite Group,1.0,NA
Thiospinel Group,1.0,NA
Tourmaline Group,1.0,NA
Trioctahedral micas Group,1.0,NA
Vicanite Group,1.0,NA
Vuoriyarvite Group,1.0,NA
w(O)-dominant Amphibole Group,1.0,NA
"w(OH, F, Cl)-dominant Amphibole Group",1.0,NA
Zeolite Group,1.0,NA
Paralabuntsovite Group,1.0,NA
Scapolite Group,1.0,NA
Alum Group,1.0,NA
Ancylite Group,1.0,NA
Apatite Group,1.0,NA
Arisite Group,1.0,NA
Bastnäsite Group,1.0,NA
Betafite Group,1.0,NA
Bussyite Group,1.0,NA
Cuatrocapaite Group,1.0,NA
Fluocerite Group,1.0,NA
Högbomite Group,1.0,NA
Ivanyukite Group,1.0,NA
Jahnsite Group,1.0,NA
Mendeleevite Group,1.0,NA
Microlite Group,1.0,NA
Pandoraite Group,1.0,NA
Pyrochlore Group,1.0,NA
Rhabdoborite Group,1.0,NA
Rhabdophane Group,1.0,NA
Roméite Group,1.0,NA
Rowlandite Group,1.0,NA
Columbite Group,1.0,NA
Tapiolite Group,1.0,NA
Aeschynite Group,1.0,NA
Allanite Group,1.0,NA
Ardennite Group,1.0,NA
Arrojadite Group,1.0,NA
Axinite Group,1.0,NA
Belovite Group,1.0,NA
Betpakdalite Group,1.0,NA
Britholite Group,1.0,NA
Cerchiaraite Group,1.0,NA
Cerite Group,1.0,NA
Chevkinite Group,1.0,NA
Chukhrovite Group,1.0,NA
Cordylite Group,1.0,NA
Erionite Group,1.0,NA
Ferrierite Group,1.0,NA
Gadolinite Group,1.0,NA
Hellandite Group,1.0,NA
Heulandite Group,1.0,NA
Joaquinite Group,1.0,NA
Kuzmenkoite Group,1.0,NA
Labuntsovite Group,1.0,NA
Lemmleinite Group,1.0,NA
Mendozavilite Group,1.0,NA
Monazite Group,1.0,NA
Nigerite Group,1.0,NA
Nordite Group,1.0,NA
Obradovicite Group,1.0,NA
Organovaite Group,1.0,NA
Paratsepinite Group,1.0,NA
Pumpellyite Group,1.0,NA
Retzian Group,1.0,NA
Samarskite Group,1.0,NA
Steenstrupine Group,1.0,NA
Stilbite Group,1.0,NA
Synchysite Group,1.0,NA
Taaffeite Group,1.0,NA
Tundrite Group,1.0,NA
Whiteite Group,1.0,NA
Xenotime Group,1.0,NA
Pyrosmalite Group,1.0,NA
Apophyllite Group,1.0,NA
Chabazite Group,1.0,NA
Demicheleite Group,1.0,NA
Faujasite Group,1.0,NA
Gagarinite Group,1.0,NA
Lanthanite Group,1.0,NA
Parisite Group,1.0,NA
Perrierite Group,1.0,NA
Pertsevite Group,1.0,NA
Phosphovanadylite Group,1.0,NA
Rinkite Group,1.0,NA
Euxenite Group,1.0,NA
Olivine Group,1.0,NA
Coulsellite Group,1.0,NA
Elsmoreite Group,1.0,NA
Mayenite Group,1.0,NA
Ralstonite Group,1.0,NA
Tetrahedrite Group,1.0,NA
Ursilite Group,1.0,NA
Ellestadite Group,1.0,NA
