"Mineral_Name","Approval history","Groups","Synonyms","Varieties","Strunz 8th edition","Dana 8th edition","Strunz 10th edition","Hey's 3rd edition","Formula","Crystal System","Class Name","H-M symbol","Space group","Non-standart settings","Optical Properties","Colour","Streak","Lustre","Cleavage","Fracture","Tenacity","Hardness","Density measured","Density calculated","Habit","Geological occurrence","Localities","References","Named for","Type Locality","Distribution","Distribution Range","URL to e-Rocks","Context","Groups Short"
"Erbium","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1073138",,
"Vanadiopargasite","Approved","Pargasite Root Name","IMA2017-019",,,,,,"NaCa_2_(Mg_4_V)(Al_2_Si_6_)O_22_(OH)_2_","Monoclinic",,,,,,,,,,,,,,,,,"Pereval Marble Quarry, Slyudyanka, Eastern Siberia, Russian Federation",,,,,,"https://e-rocks.com/node/1066240",,
"Pandoraite-(Ba)","Approved",,"IMA 2018-024",,,,,,"BaV^4+^_5_V^5+^_2_O_16_·3H_2_O","Monoclinic",,,,,,,,,,,,,,,,,"Pandora Mine, Paradox Valley, San Juan County, Utah, United States of America",,,,,,"https://e-rocks.com/node/1062705",,
"Aniyunwiyaite","Approved",,"IMA2018-054",,,,,,"Ca_3_Mn^2+^Fe^2+^Al_4_(PO_4_)_6_(OH)_4_·12H_2_O","Triclinic",,,,,,"white",,,,,,,,,,,"Foote Lithium Co. Mine (Foote Mine), Kings Mountain District, Cleveland Co., North Carolina, USA",,,,,,"https://e-rocks.com/node/1058948",,
"Caysichite -(Y)","New",,"Caysichite -(Y)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1048143",,
"Pandoraite-(Ca)","Approved",,,,,,,,"CaV^4+^_5_V^5+^_2_O_16_·3H_2_O","Monoclinic",,,,,,,,,,,,,,,,,"Pandora Mine, La Sal, La Sal District (Paradox Valley District), San Juan Co., Utah, USA",,,,,,"https://e-rocks.com/node/1026325",,
"Unnamed (Fe-Al Phosphate)","Approved",,,,,,,,"Fe, Al, P, O, H","Monoclinic",,,,,,,,,,,,,,,,,"Girard Chert Ocurrence, Burke County, Georgia, United States of America",,,,,,"https://e-rocks.com/node/1018240",,
"Kanonenspat","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1003348",,
"Kaiyuhite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,"Perseverance Mine (Valley Mine; Bishop Creek Mines), Kaiyuh District, Yukon-Koyukuk Borough, Alaska, USA",,,,,,"https://e-rocks.com/node/1003015",,
"Hydrosilicite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/1002178",,
"UM1999-38-WO:CrV","Approved",,,,"7.GB.15",,,,"(V, Cr, W, O, H)     [V:Cr:W ratio about 2:1:3]",,,,,,,,,,,,,,,,,,"Clara Mine, Rankach valley, Oberwolfach, Wolfach, Black Forest, Baden-Württemberg, Germany",,,,,,"https://e-rocks.com/node/989731",,
"Obruchevite","Approved",,,,,,,,"A_2_Nb_2_(O,OH)_6_Z",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/985497",,
"Badenweilerite","Approved",,"IMA2011-110",,,,,,"PbFe^3+^_7_AlSi_7_O_27_·5H_2_O",,,,,,,,,,,,,,,,,,"Silberbrünnle Mine, Haigerach valley, Gengenbach, Black Forest, Baden-Württemberg, Germany",,,,,,"https://e-rocks.com/node/979003",,
"Nickelalumite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/975827",,
"Kupčikite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/973027",,
"Iona Marble","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/953369",,
"Banket Ore","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/943606",,
"Unnamed (Kogarkoite-like mineral)","Approved",,,,,,,,"Na, F, SO_4_(?)",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/941439",,
"Lithionite","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/931577",,
"Unnamed (Pb Oxysulphate Hydrate)","Approved",,,,,,,,"3PbO · PbSO_4_ · H_2_O","Triclinic",,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/920919",,
"Duftite-β","Approved",,"β-Duftite, Beta-Duftite",,,,,,"PbCu(AsO_4_)(OH)",,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/920444",,
"Fake Amethyst","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/899100",,
"Alethopteris","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/899070",,
"Fern","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/899068",,
"Fused Alumina","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/899035",,
"Chrome Alumina Slag","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/899028",,
"Opalized Sea Worm","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/898919",,
"H5 Chondrite Meteorite","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/898907",,
"Phacops Pleyitus","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/898901",,
"African Jade","New",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/898458",,
"Mudstone","New",,"Mud Stone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/898428",,
"Snake Skin Quartz","New",,"Snake Skin Agate, Snake Skin Chalcedony",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/894101",,
"Frondelite-Rockbridgeite Series","Approved",,,,,,,,"Series between, Mn^2+^Fe_4_^3+^(PO_4_)_3_(OH)_5_ to Fe^2+^Fe_4_^3+^(PO_4_)_3_(OH)_5_","Orthorhombic",,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/893537",,
"Feynmannite","Approved",,"IMA2017-035",,,,,,"Na(UO_2_)(SO_4_)(OH)·3.5H_2_O","Monoclinic",,,,,,"Pale Yellow",,,,,,,,,,,"Blue Lizard Mine, White Canyon District, San Juan County, Utah, USA
Markey Mine, White Canyon District, San Juan County, Utah, USA",,,,,,"https://e-rocks.com/node/867216",,
"Klaprothite (of Beudant)","Approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://e-rocks.com/node/859293",,
