"Term ID","Name","Vocab machine name","Count","Approval status","Mindat ID","Term Flattened","Geolocation"
"62008","Abbots Cliff, Folkestone","locality_data","2","Approved","1582","Abbots Cliff, Folkestone, Kent, United Kingdom","
  
  
  51.1, 1.24833333333

"
"67283","Abdong, Pyonggang County","locality_data","5","Approved","156723","Abdong, Pyonggang County, Kangwon Province, North Korea","
  
  
  38.717960625966, 127.4625418133

"
"47919","Abenab Mine, Grootfontein","locality_data","23","Approved","8280","Abenab Mine, Grootfontein, Otjozondjupa Region, Namibia","
  
  
  -19.294626, 18.089507

"
"52431","Abendröthe Mine, St Andreasberg, Goslar","locality_data","6","Approved","13511","Abendröthe Mine, St Andreasberg, Goslar, Lower Saxony, Germany","
  
  
  51.7130555556, 10.5161111111

"
"62009","Aberdaunant Mine, Llanidloes, Powys","locality_data","2","Approved","5189","Aberdaunant Mine, Llanidloes, Powys, Wales, United Kingdom","
  
  
  52.4666666667, -3.60888888889

"
"49582","Aberdeenshire","locality_data","1","Approved","2837","Aberdeenshire, Scotland, United Kingdom","
  
  
  57.28687230000001, -2.3815684

"
"47921","Aberfoil River, Oban, Clark County","locality_data","12","Approved","1","Aberfoil River, Oban, Clark County, New South Wales, Australia","
  
  
  -30.0870505, 151.9568277

"
"58443","Aberfoyle Mine, Rossarden, Northern Midlands Municipality","locality_data","22","Approved","6728","Aberfoyle Mine, Rossarden, Northern Midlands Municipality, Tasmania, Australia","
  
  
  -41.66, 147.750555556

"
"62010","Abergairn Mine, Glen Gairn, Ballater, Aberdeenshire","locality_data","6","Approved","4985","Abergairn Mine, Glen Gairn, Ballater, Aberdeenshire, Scotland, United Kingdom","
  
  
  57.0624260712, -3.06037679388

"
"76883","Abertamy","locality_data","1","Approved","155991","Abertamy, Karlovy Vary Region, Czech Republic","
  
  
  50.378504475627, 12.829008979663058

"
"83394","Abessêdo Mine, Vila Boa de Ousilhão, Vinhais","locality_data","1","Approved","261007","Abessêdo Mine, Vila Boa de Ousilhão, Vinhais, Bragança District, Portugal","
  
  
  41.816084, -6.944061

"
"47924","Abfaltersbach, Lienz District","locality_data","5","Approved","57554","Abfaltersbach, Lienz District, Tyrol, Austria","
  
  
  46.7585213, 12.528068

"
"78886","Abichl Alp, Untersulzbach Valley, Hohe Tauern","locality_data","2","Approved","56599","Abichl Alp, Untersulzbach Valley, Hohe Tauern, Salzburg, Austria","
  
  
  47.194105, 12.2348635

"
"80366","Abilene, Taylor County","locality_data","1","Approved","43133","Abilene, Taylor County, Texas, United States of America","
  
  
  32.4487364, -99.73314390000002

"
"80952","Abitibi-Témiscamingue","locality_data","1","Approved","14694","Abitibi-Témiscamingue, Québec, Canada","
  
  
  47.7344268, -77.672777

"
"74842","Abraham Adit, Silberberg, Inn valley, North Tyrol","locality_data","2","Approved","266789","Abraham Adit, Silberberg, Inn valley, North Tyrol, Tyrol, Austria","
  
  
  47.1902778, 11.497499999999945

"
"73278","Abraham Shaft, Himmelfahrt Mine, Freiberg, Mittelsachsen","locality_data","2","Approved","102693","Abraham Shaft, Himmelfahrt Mine, Freiberg, Mittelsachsen, Saxony, Germany","
  
  
  50.9185166667, 13.3603388889

"
"66975","Abrud Mine","locality_data","2","Approved","146858","Abrud Mine, Alba County, Romania","
  
  
  46.2726882, 23.065790600000014

"
"71204","Abu Dhabi","locality_data","1","Approved","1","Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates","
  
  
  24.453884, 54.37734380000006

"
"71203","Abu Dhabi Emirate","locality_data","0","Approved","131064","Abu Dhabi Emirate, United Arab Emirates","
  
  
  24.453884, 54.37734380000006

"
"47925","Abundancia Mine, Guanaco, Santa Catalina, Antofagasta Province","locality_data","37","Approved","33886","Abundancia Mine, Guanaco, Santa Catalina, Antofagasta Province, Antofagasta Region, Chile","
  
  
  -25.1058333, -69.5358333

"
