mineral_name,formula,ions,note,ns_class,ns_subclass,ns_family,ns_mineral
Sinnerite,Cu_6_As_4_S_9_,,,2,G,C,10
Sinoite,Si_2_N_2_O,,,1,D,B,10
Sitinakite,KNa_2_Ti^4+^_4_Si_2_O_13_(OH)·4H_2_O,,,9,A,G,17
Siudaite,"Na_9_Mn^2+^_2_Ca_6_(Fe^3+^,Mn^2+^)_3_Zr_3_Nb^5+^([box],Ti^4+^)Si_25_O_74_(OH)_2_Cl·5H_2_O","{""A"":[""Na^1+^ x 9"",""Mn^2+^ x 2""],""B"":[""Ca^2+^ x 6""],""C"":[""Zr^4+^ x 3""],""D"":[""Fe^3+^ x 3-D"",""Mn^2+^ x 3-D""],""E"":[""Nb^5+^""],""X1"":[""Si^4+^ x 25""],""Y1"":[""O^2-^ x 74""],""W"":[""H_2_O x 5""],""Z"":[""OH^1-^ x 2"",""Cl^1-^""]}",,9,C,O,10
Siwaqaite,Ca_6_Al_2_(Cr^6+^O_4_)_3_(OH)_12_·26H_2_O,"{""A"":[""Ca^2+^ x 6""],""B"":[""Al^3+^ x 2""],""X1"":[""Cr^6+^ x 1(2)""],""X2"":[""Cr^6+^""],""Y1"":[""O^2-^ x 4(2)""],""Y2"":[""O^2-^ x 4(1)""],""W"":[""H_2_O x 26""],""Z"":[""OH^1-^ x 12""]}",,7,D,G,15
Skaergaardite,CuPd,,,1,A,G,45
Skinnerite,Cu_3_Sb^3+^S^2-^_3_,,,2,G,A,20
Skippenite,Bi_2_Se_2_Te,"{""A"":[""Bi x 2""],""Y1"":[""Se x 2"",""Te""]}",,2,D,C,05
Sklodowskite,Mg(U^6+^O_2_)_2_(SiO_3_OH)_2_·6H_2_O,"{""A"":[""Mg^2+^""],""B"":[""U^6+^O_2_ x 2""],""X1"":[""Si^4+^ x 1(2)""],""Y1"":[""O^2-^ x 3(2)"",""OH^1-^ x 1(2)""],""W"":[""H_2_O x 6""]}",,9,A,K,10
Skorpionite,Ca_3_Zn_2_(PO_4_)_2_CO_3_(OH)_2_·H_2_O,,,8,D,O,45
Skutterudite,Co^3+^As_3_,"{""A"":[""Co^3+^""],""Y1"":[""As x 3""]}",,2,E,C,05
Slavíkite,(H_3_O)^1+^_3_Mg_6_Fe^3+^_15_(SO_4_)_21_(OH)_18_·98H_2_O,,,7,D,F,20
Slavkovite,Cu^2+^_13_(As^5+^O_4_)_6_(As^5+^O_3_OH)_4_·23H_2_O,,,8,C,E,90
Slawsonite,SrAl_2_Si_2_O_8_,"{""A"":[""Sr^2+^""],""X1"":[""Al^3+^ x 2"",""Si^4+^ x 2""],""Y1"":[""O^2-^ x 8""]}",,9,F,A,50
Šlikite,Zn_2_Mg(CO_3_)_2_(OH)_2_·4H_2_O,,,5,D,A,60
Smamite,Ca_2_Sb^5+^(OH)_4_[H(AsO_4_)2]·6H_2_O,,,8,D,D,30
Smirnite,Bi_2_Te^4+^O_5_,,,4,J,K,40
Smirnovskite,CaTh^4+^(PO_4_)_2_ ·nH_2_O,,,8,C,J,25
Smithite,AgAs^3+^S^2-^_2_,,,2,G,C,30
Smithsonite,ZnCO_3_,"{""A"":[""Zn^2+^""],""X1"":[""C^4+^""],""Y1"":[""O^2-^ x 3""]}",,5,A,B,05
Smolyaninovite,Co^2+^_3_Fe^3+^_2_(As^5+^O_4_)_4_·11H_2_O,"{""A"":[""Co^2+^ x 3""],""B"":[""Fe^3+^ x 2""],""X1"":[""As^5+^ x 1(4)""],""Y1"":[""O^2-^ x 4(4)""],""W"":[""H_2_O x 11""]}",,8,C,H,55
Smrkovecite,Bi_2_O(OH)PO_4_,"{""A"":[""Bi^3+^ x 2""],""X1"":[""P^5+^""],""Y1"":[""O^2-^ x 4""],""W"":[""OH^1-^""],""Z"":[""O^2-^""]}",,8,B,O,15
Smythite,"(Fe,Ni)_3-3.3_S_4_","{""A"":[""Fe^2+^ x 3-3.3-A"",""Ni^2+^ x 3-3.3"",""Fe^3+^ x 3-3.3-A""],""Y1"":[""S^2-^ x 4""]}",,2,C,C,10
Sobolevite,Na_13_Ca_2_Mn^2+^_2_Ti^4+^_3_(Si_2_O_7_)_2_(PO_4_)_4_O_3_F_3_,"{""A"":[""Na^1+^ x 13"",""Ca^2+^ x 2"",""Mn^2+^ x 2"",""Ti^4+^ x 3""],""X1"":[""Si^4+^ x 2(2)""],""Y1"":[""O^2-^ x 7(2)""],""W"":[""(PO_4_)^3-^ x 4""],""Z"":[""O^2-^ x 3"",""F^1-^ x 3""]}",,9,B,E,37
Sobolevskite,"Pd(Bi,Te)","{""A"":[""Pd^3+^""],""Y1"":[""Bi^3-^ x 1-Y"",""Te^3-^ x 1-Y""]}",,2,C,C,05
Sodalite,Na_4_Si_3_Al_3_O_12_Cl,"{""A"":[""Na^1+^ x 4""],""X1"":[""Al^3+^ x 3"",""Si^4+^ x 3""],""Y1"":[""O^2-^ x 12""],""Z"":[""Cl^1-^""]}",,9,F,B,10
Soddyite,(U^6+^O_2_)_2_SiO_4_·2H_2_O,,,9,A,K,05
Sofiite,Zn_2_(Se^4+^O_3_)Cl_2_,,,4,J,G,15
Sogdianite,KZr_2_Li_3_Si_12_O_30_,"{""A"":[""K^1+^""],""B"":[""Li^1+^ x 3""],""C"":[""Zr^4+^ x 2""],""X1"":[""Si^4+^ x 12""],""Y1"":[""O^2-^ x 30""]}",,9,C,M,05
Söhngeite,Ga(OH)_3_,"{""A"":[""Ga^3+^""],""Y1"":[""OH^1-^ x 3""]}",,4,F,C,05
Sokolovaite,CsLi_2_AlSi_4_O_10_F_2_,"{""A"":[""Cs^1+^""],""B"":[""Al^3+^"",""Li^1+^ x 2""],""X1"":[""Si^4+^ x 4""],""Y1"":[""O^2-^ x 10""],""Z"":[""F^1-^ x 2""]}",,9,E,C,15
Solongoite,Ca_2_B_3_O_4_(OH)_4_Cl,"{""A"":[""Ca^2+^ x 2""],""X1"":[""B^3+^ x 3""],""Y1"":[""O^2-^ x 4"",""OH^1-^ x 4""],""Z"":[""Cl^1-^""]}",,6,C,A,40
Somersetite,Pb^2+^_8_O_2_(OH)_2_(CO_3_)_5_,,,5,B,E,45
Sonolite,Mn^2+^_9_(SiO_4_)_4_(OH)_2_,"{""A"":[""Mn^2+^ x 9""],""X1"":[""Si^4+^ x 1(4)""],""Y1"":[""O^2-^ x 4(4)""],""Z"":[""OH^1-^ x 2""]}",,9,A,F,55
Sonoraite,Fe^3+^Te^4+^O_3_(OH)·H_2_O,,,4,J,N,05
Sopcheite,Ag_4_Pd_3_Te_4_,"{""A"":[""Ag x 4"",""Pd x 3""],""Y1"":[""Te x 4""]}",,2,B,C,27
Sorbyite,"Pb_9_Cu(Sb,As)_11_S_26_","{""A"":[""Cu""],""B"":[""Pb x 9""],""C"":[""Sb x 11-C"",""As x 11-C""],""Y1"":[""S x 26""]}",,2,L,B,30
Sørensenite,Na_4_Be_2_Sn^4+^(Si_3_O_9_)_2_·2H_2_O,,,9,D,G,25
Sorosite,"Cu_1.1-1.2_(Sn,Sb)",,,1,A,C,15
Sosedkoite,"(K,Na)_5_Al_2_(Ta,Nb^5+^)_22_O_60_",,,4,D,M,05
Součekite,"CuPbBi(S,Se)_3_","{""A"":[""Cu^1+^""],""B"":[""Pb^2+^""],""X1"":[""Bi^3+^""],""Y1"":[""S^2-^ x 3-Y"",""Se^2-^ x 3-Y""]}",,2,G,A,50
Souzalite,"(Mg,Fe^2+^)_3_(Al,Fe^3+^)_4_(PO_4_)_4_(OH)_6_·2H_2_O","{""A"":[""Fe^2+^ x 3-A"",""Mg^2+^ x 3-A""],""B"":[""Al^3+^ x 4-B"",""Fe^3+^ x 4-B""],""X1"":[""P^5+^ x 1(4)""],""Y1"":[""O^2-^ x 4(4)""],""W"":[""H_2_O x 2""],""Z"":[""OH^1-^ x 6""]}",,8,D,C,45
Spadaite,MgSiO_2_(OH)_2_·H_2_O,,,9,E,C,25
Spaltiite,Tl_2_Cu_2_As_2_S_5_,,,2,L,A,75
Spangolite,Cu^2+^_6_AlS^6+^O_4_(OH)_12_Cl·3H_2_O,,,7,D,D,07
Spencerite,Zn_4_(PO_4_)_2_(OH)_2_·3H_2_O,,,8,D,A,40
Sperrylite,PtAs_2_,"{""A"":[""Pt^2+^""],""Y1"":[""As x 2""]}",,2,E,B,05a
Spertiniite,Cu^2+^(OH)_2_,,,4,F,D,05
Spessartine,Mn^2+^_3_Al_2_(SiO_4_)_3_,"{""A"":[""Mn^2+^ x 3""],""B"":[""Al^3+^ x 2""],""X1"":[""Si^4+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""]}",,9,A,D,25
Sphaerobertrandite,Be_3_SiO_4_(OH)_2_,,,9,A,E,50
Sphaerobismoite,Bi_2_O_3_,,,4,C,B,65
Sphalerite,ZnS^2-^,"{""A"":[""Zn^2+^""],""Y1"":[""S^2-^""]}",,2,C,B,05a
Spheniscidite,"(NH_4_,K)(Fe^3+^,Al)_2_(PO_4_)_2_(OH)·2H_2_O","{""A"":[""NH_4_^1+^ x 1-A"",""K^1+^ x 1-A""],""B"":[""Al^3+^ x 2-B"",""Fe^3+^ x 2-B""],""X1"":[""P^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 2""],""Z"":[""OH^1-^""]}",,8,D,H,10
Spherocobaltite,Co^2+^CO_3_,"{""A"":[""Co^2+^""],""X1"":[""C^4+^""],""Y1"":[""O^2-^ x 3""]}",,5,A,B,05
Spinel,MgAl_2_O_4_,"{""A"":[""Mg^2+^""],""B"":[""Al^3+^ x 2""],""Y1"":[""O^2-^ x 4""]}",,4,B,B,05
Spionkopite,Cu_1.32_S,,,2,C,A,05c
Spiridonovite,(Cu_1-x_Ag_x_)_2_Te (x ≈ 0.4),,,2,B,A,47
Spiroffite,Mn^2+^_2_Te^4+^_3_O_8_,"{""A"":[""Mn^2+^ x 2""],""B"":[""Te^4+^ x 3""],""Y1"":[""O^2-^ x 8""]}",,4,J,K,10
Spodumene,LiAlSi_2_O_6_,"{""A"":[""Li^1+^""],""B"":[""Al^3+^""],""X1"":[""Si^4+^ x 2""],""Y1"":[""O^2-^ x 6""]}",,9,D,A,30
Spriggite,Pb^2+^_3_(U^6+^O_2_)_6_O_8_(OH)_2_·3H_2_O,,,4,G,C,15
Springcreekite,BaV^3+^_3_(PO_4_)(PO_3_OH)(OH)_6_,"{""A"":[""Ba^2+^""],""B"":[""V^3+^ x 3""],""X1"":[""P^5+^""],""X2"":[""P^5+^""],""Y1"":[""O^2-^ x 4""],""Y2"":[""O^2-^ x 3"",""OH^1-^""],""Z"":[""OH^1-^ x 6""]}",,8,B,L,10
Spryite,Ag^1+^_8_(As^3+^_0.5_As^5+^_0.5_)S^2-^_6_,"{""A"":[""Ag^1+^ x 8""],""B"":[""As^5+^ x 0.5"",""As^3+^ x 0.5""],""Y1"":[""S^2-^ x 6""]}",,2,B,A,35
Spurrite,Ca_5_(SiO_4_)_2_(CO_3_),"{""A"":[""Ca^2+^ x 5""],""X1"":[""Si^4+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""Z"":[""CO_3_^2-^""]}",,9,A,H,15
Srebrodolskite,Ca_2_Fe^3+^_2_O_5_,"{""A"":[""Ca^2+^ x 2""],""B"":[""Fe^3+^ x 2""],""Y1"":[""O^2-^ x 5""]}",,4,A,C,10
Šreinite,Pb^2+^(U^6+^O_2_)_4_(BiO)_3_(PO_4_)_2_(OH)_7_·4H_2_O,,,8,E,D,10
Srilankite,Ti^4+^_2_ZrO_6_,"{""A"":[""Ti^4+^""],""B"":[""Ti^4+^ x 1-B"",""Zr^4+^ x 1-B""],""Y1"":[""O^2-^ x 4""]}",,4,D,B,25
Stalderite,"Tl(Cu^1+^,Ag)(Zn,Fe,Hg)_2_(As^3+^,Sb)_2_S^2-^_6_","{""A"":[""Ag^1+^ x 1-A"",""Cu^1+^ x 1-A""],""B"":[""Tl^1+^""],""C"":[""Fe^2+^ x 2-C"",""Zn^2+^ x 2-C"",""Hg^2+^ x 2-C""],""D"":[""As^3+^ x 2-D"",""Sb^3+^ x 2-D""],""Y1"":[""S^2-^ x 6""]}",,2,G,A,40
Stanĕkite,"(Mn^2+^,Fe^2+^,Mg)Fe^3+^(PO_4_)O","{""A"":[""Mn^2+^ x 2-A"",""Fe^2+^ x 2-A"",""Mg^2+^ x 2-A"",""Fe^3+^ x 2-A""],""X1"":[""P^5+^""],""Y1"":[""O^2-^ x 4""],""Z"":[""O^2-^""]}",,8,B,B,07
Stanfieldite,Ca_4_Mg_5_(PO_4_)_6_,,,8,A,C,37
Stangersite,SnGeS_3_,,,2,D,B,45
Stanleyite,V^4+^O(SO_4_)·6H_2_O,,,7,D,E,22
Stannite,Cu^1+^_2_Fe^2+^Sn^4+^S^2-^_4_,"{""A"":[""Cu^1+^ x 2""],""B"":[""Fe^2+^""],""X1"":[""Sn^4+^""],""Y1"":[""S^2-^ x 4""]}",,2,C,B,10a
Stannoidite,"Cu^1+^_8_Fe^3+^_2_(Fe^2+^,Zn)Sn^4+^_2_S^2-^_12_","{""A"":[""Cu^1+^ x 2.66""],""B"":[""Fe^2+^ x 1-B"",""Fe^3+^ x 1-B"",""Zn^2+^ x 1-B""],""X1"":[""Sn^4+^ x 0.66""],""Y1"":[""S^2-^ x 4""]}",,2,C,B,10c
Stannopalladinite,Pd_3_Sn_2_,,,1,A,G,25
Starkeyite,MgS^6+^O_4_·4H_2_O,"{""A"":[""Mg^2+^""],""X1"":[""S^6+^""],""Y1"":[""O^2-^ x 4""],""W"":[""H_2_O x 4""]}",,7,C,B,10
Staročeskéite,Ag_0.70_Pb_1.60_(Bi_1.35_Sb_1.35_)S_6_,"{""A"":[""Ag x 0.7""],""B"":[""Pb x 1.6""],""D"":[""Bi x 1.35"",""Sb x 1.35""],""Y1"":[""S x 6""]}",,2,J,B,40a
Starovaite,KCu^2+^_5_O(V^5+^O_4_)_3_,,,8,B,F,25
Staurolite,Fe^2+^_2_Al_9_Si_4_O_23_(OH),"{""A"":[""Fe^2+^ x 2""],""B"":[""Al^3+^ x 9""],""X1"":[""Si^4+^ x 4""],""Y1"":[""O^2-^ x 23"",""OH^1-^""]}",,9,A,F,30
Stavelotite-(La),"(La,Nd,Ca)_3_Mn^2+^_3_Cu^2+^(Mn^3+^,Fe^3+^,Mn^4+^)_26_(Si_2_O_7_)_6_O_30_",,,9,B,E,80
Steacyite,"K_0.3_(Na,Ca)_2_Th^4+^Si_8_O_20_","{""A"":[""K^1+^ x 0.3""],""B"":[""Ca^2+^ x 2-B"",""Na^1+^ x 2-B""],""C"":[""Th^4+^""],""X1"":[""Si^4+^ x 8""],""Y1"":[""O^2-^ x 20""]}",,9,C,H,10
Steedeite,NaMn^2+^_2_[Si_3_BO_9_](OH)_2_,,,9,D,G,02
Steenstrupine-(Ce),"Na_14_Mn^2+^_2_(Fe^3+^,Mn^3+^)_2_Ce^3+^_6_(Zr,Th^4+^)(Si_6_O_18_)_2_(PO_4_)_6_(HPO_4_)(OH)_2_·2H_2_O","{""A"":[""Na^1+^ x 14""],""B"":[""Ce^3+^ x 6""],""C"":[""Mn^2+^ x 2"",""Fe^3+^ x 2-C2-C3"",""Mn^3+^ x 2-C2-C3"",""Zr^4+^ x 1-C4-C5"",""Th^4+^ x 1-C4-C5""],""X1"":[""Si^4+^ x 6(2)""],""X2"":[""P^5+^ x 1(6)""],""Y1"":[""O^2-^ x 18(2)""],""Y2"":[""O^2-^ x 4(6)""],""W"":[""H_2_O x 2""],""Z"":[""OH^1-^ x 2"",""(HPO_4_)^2-^""]}",,9,C,K,20
Stefanweissite,"(Ca,REE)_2_Zr_2_(Nb^5+^,Ti^4+^)(Ti^4+^,Nb^5+^)_2_Fe^2+^O_14_","{""A"":[""Ca^2+^ x 2-A"",""REE^3+^ x 2-A""],""B"":[""Zr^4+^ x 2""],""C"":[""Ti^4+^ x 1-C"",""Nb^5+^ x 1-C""],""D"":[""Ti^4+^ x 2-C"",""Nb^5+^ x 2-C""],""E"":[""Fe^2+^""],""Y1"":[""O^2-^ x 14""]}",,4,D,H,30
Steigerite,AlV^5+^O_4_·3H_2_O,,,8,C,E,65
Steinhardtite,Al_0.38_Ni_0.32_Fe_0.30_,"{""A"":[""Al x 0.38"",""Ni x 0.32"",""Fe x 0.30""]}",,1,A,A,05
Steinmetzite,Zn^2+^_2_Fe^3+^(P^5+^O_4_)_2_(OH)·3H_2_O,,,8,C,A,42
Steklite,KAl(S^6+^O_4_)_2_,"{""A"":[""K^1+^""],""B"":[""Al^3+^""],""X1"":[""S^6+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""]}",,7,A,C,20
Stellerite,Ca_4_(Si_28_Al_8_)O_72_·28H_2_O,"{""A"":[""Ca^2+^ x 4""],""X1"":[""Al^3+^ x 8"",""Si^4+^ x 28""],""Y1"":[""O^2-^ x 72""],""W"":[""H_2_O x 28""]}",,9,G,E,15
Stenhuggarite,CaFe^3+^Sb^3+^As^3+^_2_O_7_,,,4,J,B,35
Stenonite,"(Sr,Ba,Na)_2_Al(CO_3_)F_5_",,,3,C,G,05
Stepanovite,NaMgFe^3+^(C_2_O_4_)_3_·8-9H_2_O,,,10,A,B,12
Stephanite,Ag_5_SbS_4_,,,2,G,B,10
Štěpite,U^4+^(As^5+^O_3_OH)_2_·4H_2_O,,,8,C,J,45
Stercorite,(NH_4_)Na(PO_3_OH)·4H_2_O,,,8,C,J,02
Sterlinghillite,Mn^2+^_3_(As^5+^O_4_)_2_·3H_2_O,,,8,C,D,25
Sternbergite,AgFe_2_S^2-^_3_,"{""A"":[""Ag^1+^""],""B"":[""Fe^2+^""],""Y1"":[""S^2-^ x 3""]}",,2,C,B,30
Steropesite,Tl^1+^_3_BiCl_6_,,,3,C,K,05
Sterryite,"Cu(Ag,Cu)_3_Pb_19_(Sb,As)_22_(As)_2_S_56_","{""A"":[""Cu x 4-A"",""Ag x 4-A""],""B"":[""Pb x 19""],""C"":[""Sb x 22-C"",""As x 22-C""],""Y1"":[""S x 56""],""Z"":[""As_2_""]}",,2,L,B,30
Stetefeldtite,"Ag_2_Sb^5+^_2_(O,OH)_7_",,,4,D,H,20
Stetindite-(Ce),Ce^4+^(SiO_4_),"{""A"":[""Ce^4+^""],""X1"":[""Si^4+^""],""Y1"":[""O^2-^ x 4""]}",,9,A,D,30
Stevensite,"(Ca_0.5_,Na)_0.33_(Mg,Fe^2+^)_3_(Si_4_O_10_)(OH)_2_","{""A"":[""Na^1+^ x 0.33-A"",""Ca^2+^ x 0.33-A""],""B"":[""Mg^2+^ x 2-B"",""Fe^2+^ x 2-B""],""X1"":[""Si^4+^ x 4""],""Y1"":[""O^2-^ x 10""],""Z"":[""OH^1-^ x 2""]}",,9,E,C,25
Steverustite,Pb^2+^_5_Cu^1+^(S^6+^O_3_S^2-^)_3_(OH)_5_·2H_2_O,,,7,J,A,10
Stewartite,Mn^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O,,,8,D,C,30
Stibarsen,SbAs,"{""A"":[""Sb x 0.5"",""As x 0.5""]}",,1,C,A,05
Stibiconite,Sb^3+^Sb^5+^_2_O_6_(OH),"{""A"":[""Sb^3+^""],""B"":[""Sb^5+^ x 2""],""Y1"":[""O^2-^ x 6""],""Z"":[""OH^1-^""]}",,4,D,H,20
Stibioclaudetite,As^3+^Sb^3+^O_3_,"{""A"":[""Sb^3+^"",""As^3+^""],""Y1"":[""O^2-^ x 3""]}",,4,C,B,45
Stibiocolumbite,"Sb^3+^(Nb^5+^,Ta)O_4_","{""A"":[""Sb^3+^""],""B"":[""Nb^5+^ x B-1"",""Ta^5+^ x B-1""],""Y1"":[""O^2-^ x 4""]}",,4,D,E,30
Stibiocolusite,"Cu^1+^_12_Cu^2+^V^3+^(Sb^5+^,Sn^4+^,As^5+^)_3_S^2-^_16_","{""A"":[""Cu^1+^ x 12"",""Cu^2+^""],""B"":[""V^3+^""],""C"":[""As^5+^ x 3-C"",""Sb^5+^ x 3-C"",""Sn^4+^ x 3-C""],""Y1"":[""S^2-^ x 16""]}",,2,C,B,15
Stibiopalladinite,Pd_5_Sb_2_,"{""A"":[""Pd x 5""],""B"":[""Sb x 2""]}",,2,A,C,20a
Stibiotantalite,"Sb^3+^(Ta,Nb^5+^)O_4_","{""A"":[""Sb^3+^""],""B"":[""Nb^5+^ x B-1"",""Ta^5+^ x B-1""],""Y1"":[""O^2-^ x 4""]}",,4,D,E,30
Stibivanite,Sb^3+^_2_V^4+^O_5_,,,4,J,A,55
Stibnite,"Sb_2_(S,Se)_3_","{""A"":[""Sb^3+^ x 2""],""Y1"":[""S^2-^ x 3-Y"",""Se^2-^ x 3-Y""]}",,2,D,B,05
Stichtite,Mg_6_Cr^3+^_2_CO_3_(OH)_16_·4H_2_O,"{""A"":[""Mg^2+^ x 6""],""B"":[""Cr^3+^ x 2""],""X1"":[""C^4+^""],""Y1"":[""O^2-^ x 3""],""W"":[""H_2_O x 4""],""Z"":[""OH^1-^ x 16""]}",,5,D,A,50
Stilbite-Ca,NaCa_4_(Si_27_Al_9_)O_72_·28H_2_O,"{""A"":[""Na^1+^"",""Ca^2+^ x 4""],""X1"":[""Al^3+^ x 9"",""Si^4+^ x 27""],""Y1"":[""O^2-^ x 72""],""W"":[""H_2_O x 28""]}",,9,G,E,10
Stilbite-Na,"(Na,Ca,K)_6-7_[Al_8_Si_28_O_72_]·nH_2_O","{""A"":[""Na^1+^ x 6-7-A"",""Ca^2+^ x 6-7-A"",""K^1+^ x 6-7-A""],""X1"":[""Al^3+^ x 8"",""Si^4+^ x 28""],""Y1"":[""O^2-^ x 72""],""W"":[""H_2_O x n""]}",,9,G,E,10
Stilleite,ZnSe^2-^,"{""A"":[""Zn^2+^""],""Y1"":[""Se^2-^""]}",,2,C,B,05a
Stillwaterite,Pd_8_As_3_,,,2,A,C,10a
Stillwellite-(Ce),"(Ce^3+^,La,Ca)BSiO_5_",,,9,A,J,25
Stilpnomelane,"(K,Ca,Na)(Fe^2+^,Mg,Al,Fe^3+^)_8_(Si,Al)_12_(O,OH)_36_·nH_2_O","{""A"":[""K^1+^ x 6-A"",""Ca^2+^ x 6-A"",""Na^1+^ x 6-A""],""B"":[""Fe^2+^ x 48-B"",""Mg^2+^ x 48-B"",""Al^3+^ x 48-B"",""Fe^3+^ x 48-B""],""X1"":[""Si^4+^ x 72-X"",""Al^3+^ x 72-X""],""Y1"":[""O^2-^ x 162-Y"",""OH^1-^ x 162-Y""],""W"":[""H_2_O x n""],""Z"":[""O^2-^ x 54-Y"",""OH^1-^ x 54-Y""]}",,9,E,G,40
Stishovite,SiO_2_,"{""A"":[""Si^4+^""],""Y1"":[""O^2-^ x 2""]}",,4,D,A,40
Stistaite,SnSb,,,2,A,A,45
Stöfflerite,CaAl_2_Si_2_O_8_,"{""A"":[""Ca^2+^""],""X1"":[""Al^3+^ x 2"",""Si^4+^ x 2""],""Y1"":[""O^2-^ x 8""]}",,9,F,A,70
Stoiberite,Cu^2+^_5_O_2_(V^5+^O_4_)_2_,,,8,B,B,37
Stokesite,CaSn^4+^Si_3_O_9_·2H_2_O,,,9,D,M,05
Stolperite,AlCu,,,1,A,A,30
Stolzite,Pb^2+^W^6+^O_4_,"{""A"":[""Pb^2+^""],""B"":[""W^6+^""],""Y1"":[""O^2-^ x 4""]}",,7,G,A,05
Stoppaniite,Fe^3+^_2_Be_3_Si_6_O_18_·H_2_O,"{""A"":[""Fe^3+^ x 2""],""B"":[""Be^2+^ x 3""],""X1"":[""Si^4+^ x 6""],""Y1"":[""O^2-^ x 18""],""W"":[""H_2_O""]}",,9,C,J,05
Stornesite-(Y),"{(Y, Ca)}{Na_6_[box]_2_}{(Ca,Na)_8_}{(Mg,Fe^2+^)_43_}(PO_4_)_36_","{""A"":[""Y^3+^ x 1-A"",""Ca^2+^ x 1-A""],""B"":[""Na^1+^ x 8-B"",""[box]""],""C"":[""Ca^2+^ x 8-C"",""Na^1+^ x 8-C""],""D"":[""Fe^2+^ x 43-D"",""Mg^2+^ x 43-D""],""X1"":[""P^5+^ x 1(36)""],""Y1"":[""O^2-^ x 4(36)""]}",,8,A,C,27
Stottite,Fe^2+^Ge(OH)_6_,"{""A"":[""Fe^2+^""],""B"":[""Ge^4+^""],""Y1"":[""OH^1-^ x 6""]}",,4,F,C,15
Stracherite,BaCa_6_(SiO_4_)_2_[(P^5+^O_4_)(C^4+^O_3_)]_2_F,"{""A"":[""Ba^2+^""],""B"":[""Ca^2+^ x 6""],""X1"":[""Si^4+^ x 1(2)""],""X2"":[""P^5+^"",""C^4+^""],""Y1"":[""O^2-^ x 4(2)""],""Y2"":[""O^2-^ x 4(2)""],""Z"":[""F^1-^""]}",,9,A,H,40
Straczekite,"(Ca,K,Ba)V^4+^_2_V^5+^_6_O_20_·3H_2_O","{""A"":[""Ca^2+^ x 1-A"",""Ba^2+^ x 1-A"",""K^1+^ x 1-A""],""X1"":[""V^4+^ x 2"",""V^5+^ x 6""],""Y1"":[""O^2-^ x 20""],""W"":[""H_2_O x 3""]}",,4,H,E,20
Strakhovite,"NaBa_3_(Mn^2+^,Mn^3+^)_4_[Si_4_O_10_(OH)_2_][Si_2_O_7_]O_2_·(F,OH)·H_2_O",,,9,C,F,20
Stranskiite,Cu^2+^Zn_2_(As^5+^O_4_)_2_,,,8,A,B,35
Strashimirite,Cu^2+^_4_(As^5+^O_4_)_2_(OH)_2_·2.5H_2_O,,,8,D,C,12
Straßmannite,Al(U^6+^O_2_)(SO_4_)_2_F·16H_2_O,"{""A"":[""Al^3+^""],""B"":[""U^6+^O_2_""],""X1"":[""S^6+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 16""],""Z"":[""F^1-^""]}",,7,E,B,15
Strätlingite,Ca_2_Al_2_SiO_7_·8H_2_O,,,9,E,G,25
Strelkinite,Na_2_(U^6+^O_2_)_2_(V^5+^O_4_)_2_·6H_2_O,"{""A"":[""Na^1+^ x 2""],""B"":[""U^6+^O_2_ x 2""],""X1"":[""V^5+^ x 1(2)""],""Y1"":[""O^2-^ x 4(2)""],""W"":[""H_2_O x 6""]}",,4,H,B,30
Strengite,Fe^3+^PO_4_·2H_2_O,"{""A"":[""Fe^3+^""],""X1"":[""P^5+^""],""Y1"":[""O^2-^ x 4""],""W"":[""H_2_O x 2""]}",,8,C,D,10
Stringhamite,CaCu^2+^SiO_4_·H_2_O,,,9,A,E,35
Stromeyerite,CuAgS,,,2,B,A,20
Stronadelphite,Sr_5_(PO_4_)_3_F,"{""A"":[""Sr^2+^ x 5""],""X1"":[""P^5+^ x 1(3)""],""Y1"":[""O^2-^ x 4(3)""],""Z"":[""F^1-^""]}",,8,B,N,05
Stronalsite,Na_2_SrAl_4_Si_4_O_16_,"{""A"":[""Na^1+^"",""Sr^2+^ x 0.5""],""X1"":[""Al^3+^ x 2"",""Si^4+^ x 2""],""Y1"":[""O^2-^ x 8""]}",,9,F,A,60
Strontianite,SrCO_3_,"{""A"":[""Sr^2+^""],""X1"":[""C^4+^""],""Y1"":[""O^2-^ x 3""]}",,5,A,B,15
Strontio-orthojoaquinite,"(Na,Fe^3+^)_2_Sr_2_Ba_2_Ti^4+^_2_[Si_4_O_12_]_2_O_2_(O,OH)_2_·H_2_O","{""A"":[""Na^1+^ x 2-A"",""Fe^3+^ x 2-A""],""B"":[""Ba^2+^ x 2""],""C"":[""Sr^2+^ x 2""],""D"":[""Ti^4+^ x 2""],""X1"":[""Si^4+^ x 1(8)""],""Y1"":[""O^2-^ x 3(8)""],""V"":[""H_2_O""],""W"":[""O^2-^ x 2-W"",""OH^1-^ x 2-W""],""Z"":[""O^2-^ x 2""]}",,9,C,E,25
