mineral_name,formula,ions,note,ns_class,ns_subclass,ns_family,ns_mineral
Arzrunite,Cu^2+^_4_Pb^2+^_2_(SO_4_)(OH)_4_Cl_6_·2H_2_O,,,7,D,F,35
Asbecasite,"Ca_3_(Ti^4+^,Sn^4+^)Be_2_(As^3+^O_3_)_6_(SiO_4_)_2_",,,4,J,B,30
Asbolane,"Mn^4+^(O,OH)_2_·(Co^3+^,Ni^2+^,Mg,Ca)_x_(OH)_2x_·nH_2_O",,,4,F,L,30
Aschamalmite,Pb_6-3x_Bi_2+x_S_9_,"{""B"":[""Pb x 6-3x""],""D"":[""Bi x 2+x""],""Y1"":[""S x 9""]}",,2,J,B,40b
Ashburtonite,Pb^2+^_4_Cu^2+^_4_(Si_4_O_12_)(HCO_3_)_4_(OH)_4_Cl,,,9,C,F,05
Ashcroftine-(Y),"K_5_Na_5_(Y, Ca)_12_Si_28_O_70_(OH)_2_(CO_3_)_8_·8H_2_O",,,9,D,N,15
Ashoverite,Zn(OH)_2_,,,4,F,A,10
Asimowite,Fe^2+^_2_SiO_4_,"{""A"":[""Fe^2+^ x 2""],""X1"":[""Si^4+^""],""Y1"":[""O^2-^ x 4""]}",,9,A,C,05
Asisite,Pb^2+^_7_SiO_8_Cl_2_,"{""A"":[""Pb^2+^ x 7""],""B"":[""Si^4+^""],""Y1"":[""O^2-^ x 8""],""Z"":[""Cl^1-^ x 2""]}",,3,D,B,40
Åskagenite-(Nd),Mn^2+^NdAl_2_Fe^3+^(Si_2_O_7_)(SiO_4_)O_2_,"{""A"":[""Mn^2+^""],""B"":[""Nd^3+^""],""C"":[""Al^3+^ x 2"",""Fe^3+^""],""X1"":[""Si^4+^ x 2""],""X2"":[""Si^4+^""],""Y1"":[""O^2-^ x 7""],""Y2"":[""O^2-^ x 4""],""Z"":[""O^2-^ x 2""]}",,9,B,G,05b
Aspedamite,"[box]_12_(Fe^3+^,Fe^2+^)_3_Nb^5+^_4_Th^4+^(Nb^5+^,Fe^3+^,Ti^4+^)_12_O_42_(H_2_O,OH)_12_","{""A"":[""[box]""],""B"":[""Fe^2+^ x 3-B"",""Fe^3+^ x 3-B""],""C"":[""Th^4+^""],""D"":[""Nb^5+^ x 4""],""E"":[""Nb^5+^ x 12-E"",""Fe^3+^ x 12-E"",""Ti^4+^ x 12-E""],""Y1"":[""O^2-^ x 42""],""Z"":[""H_2_O x 12-Z"",""OH^1-^ x 12-Z""]}",,4,F,N,05
Aspidolite,NaMg_3_(Si_3_Al)O_10_(OH)_2_,"{""A"":[""Na^1+^""],""B"":[""Mg^2+^ x 3""],""X1"":[""Al^3+^"",""Si^4+^ x 3""],""Y1"":[""O^2-^ x 10""],""Z"":[""OH^1-^ x 2""]}",,9,E,C,15
Asselbornite,Pb^2+^(U^6+^O_2_)_4_(BiO)_3_(As^5+^O_4_)_2_(OH)_7_·4H_2_O,,,8,E,D,10
Astrocyanite-(Ce),"Cu^2+^_2_(Ce^3+^, Nd,La)_2_(U^6+^O_2_)(CO_3_)_5_(OH)_2_·1.5H_2_O",,,5,E,F,05
Astrophyllite,K_2_NaFe^2+^_7_Ti^4+^_2_(Si_4_O_12_)_2_O_2_(OH)_4_F,"{""A"":[""K^1+^ x 2"",""Na^1+^""],""B"":[""Fe^2+^ x 7""],""C"":[""Ti^4+^ x 2""],""X1"":[""Si^4+^ x 4(2)""],""Y1"":[""O^2-^ x 12(2)""],""W"":[""OH^1-^ x 4"",""F^1-^""],""Z"":[""O^2-^ x 2""]}",,9,D,C,05
