Mineral_Name,anions_real,Formula
Dissakisite-(La),O;OH,CaLaMgAl_2_(Si_2_O_7_)(SiO_4_)O(OH)
Dollaseite-(Ce),F;OH,CaCe^3+^Mg_2_Al(Si_2_O_7_)(SiO_4_)(OH)F
Epidote-(Sr),O;OH,CaSrFe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
Ferriandrosite-(La),O;OH,Mn^2+^La^3+^Fe^3+^AlMn^2+^(Si_2_O_7_)(SiO_4_)O(OH)
Hancockite,O;OH,{CaPb^2+^}{Al_2_Fe^3+^}(Si_2_O_7_)(SiO_4_)O(OH)
Khristovite-(Ce),F;OH,CaCe^3+^(MgAlMn^2+^)(Si_2_O_7_)(SiO_4_)F(OH)
Manganiandrosite-(Ce),O;OH,Mn^2+^Ce^3+^AlMn^3+^Mn^2+^(Si_2_O_7_)(SiO_4_)O(OH)
Mukhinite,O;OH,Ca_2_Al_2_V^3+^(Si_2_O_7_)(SiO_4_)O(OH)
Niigataite,O;OH,{CaSr}{Al_3_}(Si_2_O_7_)(SiO_4_)O(OH)
Piemontite,O;OH,Ca_2_Mn^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
Piemontite-(Pb),O;OH,CaPb^2+^Al_2_Mn^3+^[Si_2_O_7_][SiO_4_]O(OH)
Piemontite-(Sr),O;OH,CaSrMn^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
Tweddillite,O;OH,{CaSr}{Mn^3+^AlMn^3+^}(Si_2_O_7_)(SiO_4_)O(OH)
Uedaite-(Ce),O;OH,Mn^2+^Ce^3+^Al_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
Vanadoandrosite-(Ce),O;OH,Mn^2+^Ce^3+^V^3+^AlMn^2+^O(Si_2_O_7_)(SiO_4_)(OH)
Androsite-(Ce),O;OH,(Mn^2+^REE)(AlAlMn^2+^)(SiO_4_)(Si_2_O_7_)O(OH)
Ferriandrosite-(Ce),O;OH,Mn^2+^REEFe^3+^AlMn^2+^(Si_2_O_7_)(SiO_4_)O(OH)
Strontian Piemontite,O;OH,"{(Ca,Sr)_2_}{Al_2_Mn^3+^}(Si_2_O_7_)(SiO_4_)O(OH)"
Clinozoisite,O;OH,Ca_2_Al_3_(Si_2_O_7_)(SiO_4_)O(OH)
Epidote,O;OH,Ca_2_Fe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
Unnamed (Ga-dominant member of the epidote group),O;OH,"{Ca_2_}{Al_2_(Ga,Fe^3+^)}(Si_2_O_7_)(SiO_4_)O(OH)"
Allanite-Epidote,O;OH,"(Ca,REE,Y)_2_Fe^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)"
Beryllian Epidote,O;(OH + O)=1,"{Ca_2_}{Al_2_Fe^3+^}((Si,Be)_2_O_7_)(SiO_4_)(O,OH)"
Chrome-Clinozoisite,O;OH,"Ca_2_(Al,Cr^3+^)_3_(Si_2_O_7_)(SiO_4_)O(OH)"
Chrome-Pistazite,O;OH,"Ca_2_Fe^3+^(Al,Cr^3+^)_2_(Si_2_O_7_)(SiO_4_)O(OH)"
Tawmawite,O;OH,"{Ca_2_}{(Al,Fe^3+^,Cr)_3_}(Si_2_O_7_)(SiO_4_)O(OH)"
Withamite,O;OH,"{Ca_2_}{Al_2_(Fe^3+^,Mn^3+^)}(Si_2_O_7_)(SiO_4_)O(OH)"
Yttroepidote,O;OH,"{(Ca,Y)_2_}{Al_2_Fe^3+^}(Si_2_O_7_)(SiO_4_)O(OH)"
Clinothulite,O;OH,"Ca_2_(Al,Mn^3+^)_3_(Si_2_O_7_)(SiO_4_)O(OH)"
Epidote-(Ga),O;OH,"Ca_2_(Ga,Fe^3+^)Al_2_(Si_2_O_7_)(SiO_4_)O(OH)"
Allanite-(Ce),O;OH,CaCe^3+^Al_2_Fe^2+^(Si_2_O_7_)(SiO_4_)O(OH)
Allanite-(La),O;OH,CaLaFe^2+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
