mineral_id,ion
218d685d-cc69-48c1-9249-3dff63c770d7,As
3b552263-22dc-4612-b250-159a7ca14e83,As
fd4e5da7-d491-4d7b-8467-406b625d21d7,As
f84b7389-e4dc-42bd-9817-915ccdb5fe19,As
e3cec28e-a704-41f8-8289-d86275813ce5,As
b661dfea-e551-499a-b362-cc396a9133d6,As
125f5049-38f5-4151-a251-6dabe30c4594,As
125f5049-38f5-4151-a251-6dabe30c4594,Bi
18c0082c-1302-450f-9ac3-e74bb14b6ec1,As
27a02f3f-1ce9-485b-a03b-51f6bb2c14ac,Fe
27a02f3f-1ce9-485b-a03b-51f6bb2c14ac,As
72fe820b-f729-4805-8204-8fd339475cb9,As
72fe820b-f729-4805-8204-8fd339475cb9,Ce
0128c25f-1bc9-4122-aa0a-c5e5f4fefb34,As
0128c25f-1bc9-4122-aa0a-c5e5f4fefb34,La
5274da96-87aa-4d1e-b6dd-f1349341c859,As
5274da96-87aa-4d1e-b6dd-f1349341c859,Nd
1b0b3965-d749-4c91-983b-a37d396fb49a,As
2b0607ba-64b5-472a-a2cc-d4c847a8839d,As
43173678-97bf-4857-97e8-643c0b175d56,As
5ee4c879-b5db-47a4-8ead-017ccfbf5da2,As
a449a5f2-5b11-4e36-8d4f-89f9562d4272,As
786797ef-9160-4ac0-a860-6a1b0043ee70,As
de942213-a18c-4461-95d6-cee962b3fc56,As
de942213-a18c-4461-95d6-cee962b3fc56,Pd
156d6505-61b9-4694-8407-a772e79703e0,As
e193e81a-3541-4204-b860-fb4a743d8a03,As
2da057be-aa4e-46ee-9b62-c77a5d6a452b,As
2f8ad910-9aee-48d4-b86b-cb0473674c91,As
9e8148d9-a689-4d32-89e3-ab27de3b9368,As
3f3cabf0-32e7-422f-b81a-01686bca6424,As
afb0cee4-842d-4c92-a2c4-0a0af02e7e8e,As
b29e713c-3e24-411e-b2c0-3db96baf6a98,As
81ccd94f-30dc-4cb8-9882-81825c89becb,As
86f82e02-a224-4438-a14a-540dd6ae20ed,As
cc77a9e4-1fe7-4ba6-afc0-f640a8abfbe7,As
b281c499-64c5-4021-8f9c-7e454eb2c904,As
a04ef5be-ce03-4cba-b2cd-854f2553ab35,As
a04ef5be-ce03-4cba-b2cd-854f2553ab35,U
3e0ea349-c5b7-4271-af7c-9a8f5104aff2,As
f9c98763-7588-472d-9d5d-3c52555922c8,As
f9c98763-7588-472d-9d5d-3c52555922c8,Be
f9c98763-7588-472d-9d5d-3c52555922c8,Ca
f9c98763-7588-472d-9d5d-3c52555922c8,Si
53db57c9-eeb9-42e2-ad60-5b92842fd197,Fe
f2fad477-b252-4574-a1b3-37f229d2a111,Ce
de79bf2e-e03f-4234-9dda-4f5705993b91,Y
8b5867c5-bed2-46a4-9068-211e45918f14,Nd
e8d41ed5-ae95-462c-9eb3-e7f9cf234edf,Ce
a68f20e7-989d-4fd6-aa7e-4a94e920f256,Au
a68f20e7-989d-4fd6-aa7e-4a94e920f256,Cu
525265f4-fe2f-4122-8166-1e5d99e36797,Au
883d965f-dc0f-4177-8d7b-773c2ccc60a2,Au
fe24f31e-ccd4-4489-96ee-082be1375c71,Au
f0915199-617c-4479-ac56-e503c8ea59a1,Au
c19ca704-7183-4a51-a849-7c349614c00a,Au
118856b5-813f-4e0f-b08e-6cfb767d6412,Au
118856b5-813f-4e0f-b08e-6cfb767d6412,Zn
b4c77583-03bf-4502-81ae-6f0b57121a00,Au
b4c77583-03bf-4502-81ae-6f0b57121a00,Hg
5fb8e91f-086d-443a-a70d-545036920488,Au
5fb8e91f-086d-443a-a70d-545036920488,Os
13244b4d-fc5f-4749-9b72-26b3f8caa23e,Au
13244b4d-fc5f-4749-9b72-26b3f8caa23e,Sb
4239aff9-fa84-4960-8f7e-085250df91c6,Fe
